Company,ID,First Name,Last Name,E-mail Address,Business Phone,Job Title,Notes,Home Phone,Mobile Phone,Fax Number,Address,ZIP/Postal Code,State/Province,City,Country/Region
Company H,8,Elizabeth,Andersen,,(123)555-0100,Purchasing Representative,,,,(123)555-0101,123 8th Street,99999,OR,Portland,USA
Company R,18,Catherine,Autier Miconi,,(123)555-0100,Purchasing Representative,,,,(123)555-0101,456 18th Street,99999,MA,Boston,USA
Company C,3,Thomas,Axen,,(123)555-0100,Purchasing Representative,,,,(123)555-0101,123 3rd Street,99999,CA,Los Angelas,USA
Company Q,17,Jean Philippe,Bagel,,(123)555-0100,Owner,,,,(123)555-0101,456 17th Street,99999,WA,Seattle,USA
Company A,1,Anna,Bedecs,,(123)555-0100,Owner,,,,(123)555-0101,123 1st Street,99999,WA,Seattle,USA
Company L,12,John,Edwards,,(123)555-0100,Purchasing Manager,,,,(123)555-0101,123 12th Street,99999,NV,Las Vegas,USA
Company S,19,Alexander,Eggerer,,(123)555-0100,Accounting Assistant,,,,(123)555-0101,789 19th Street,99999,CA,Los Angelas,USA
Company W,23,Michael,Entin,,(123)555-0100,Purchasing Manager,,,,(123)555-0101,789 23th Street,99999,OR,Portland,USA
Company P,16,Daniel,Goldschmidt,,(123)555-0100,Purchasing Representative,,,,(123)555-0101,456 16th Street,99999,CA,San Francisco,USA
Company B,2,Antonio,Gratacos Solsona,,(123)555-0100,Owner,,,,(123)555-0101,123 2nd Street,99999,MA,Boston,USA
Company N,14,Carlos,Grilo,,(123)555-0100,Purchasing Representative,,,,(123)555-0101,456 14th Street,99999,CO,Denver,USA
Company X,24,Jonas,Hasselberg,,(123)555-0100,Owner,,,,(123)555-0101,789 24th Street,99999,UT,Salt Lake City,USA
Company K,11,Peter,Krschne,,(123)555-0100,Purchasing Manager,,,,(123)555-0101,123 11th Street,99999,FL,Miami,USA
Company O,15,Helena,Kupkova,,(123)555-0100,Purchasing Manager,,,,(123)555-0101,456 15th Street,99999,HI,Honolulu,USA
Company D,4,Christina,Lee,,(123)555-0100,Purchasing Manager,,,,(123)555-0101,123 4th Street,99999,NY,New York,USA
Company CC,29,Soo Jung,Lee,,(123)555-0100,Purchasing Manager,,,,(123)555-0101,789 29th Street,99999,CO,Denver,USA
Company T,20,George,Li,,(123)555-0100,Purchasing Manager,,,,(123)555-0101,789 20th Street,99999,NY,New York,USA
Company Z,26,Run,Liu,,(123)555-0100,Accounting Assistant,,,,(123)555-0101,789 26th Street,99999,FL,Miami,USA
Company M,13,Andre,Ludick,,(123)555-0100,Purchasing Representative,,,,(123)555-0101,456 13th Street,99999,TN,Memphis,USA
Company I,9,Sven,Mortensen,,(123)555-0100,Purchasing Manager,,,,(123)555-0101,123 9th Street,99999,UT,Salt Lake City,USA
Company E,5,Martin,O’Donnell,,(123)555-0100,Owner,,,,(123)555-0101,123 5th Street,99999,MN,Minneapolis,USA
Company F,6,Francisco,Pérez-Olaeta,,(123)555-0100,Purchasing Manager,,,,(123)555-0101,123 6th Street,99999,WI,Milwaukee,USA
Company BB,28,Amritansh,Raghav,,(123)555-0100,Purchasing Manager,,,,(123)555-0101,789 28th Street,99999,TN,Memphis,USA
Company V,22,Luciana,Ramos,,(123)555-0100,Purchasing Assistant,,,,(123)555-0101,789 22th Street,99999,WI,Milwaukee,USA
Company Y,25,John,Rodman,,(123)555-0100,Purchasing Manager,,,,(123)555-0101,789 25th Street,99999,IL,Chicago,USA
Company U,21,Bernard,Tham,,(123)555-0100,Accounting Manager,,,,(123)555-0101,789 21th Street,99999,MN,Minneapolis,USA
Company AA,27,Karen,Toh,,(123)555-0100,Purchasing Manager,,,,(123)555-0101,789 27th Street,99999,NV,Las Vegas,USA
Company J,10,Roland,Wacker,,(123)555-0100,Purchasing Manager,,,,(123)555-0101,123 10th Street,99999,IL,Chicago,USA
Company G,7,Ming-Yang,Xie,,(123)555-0100,Owner,,,,(123)555-0101,123 7th Street,99999,ID,Boise,USA
